address,types,range,values,description
/lr/eq/1/g,f,{0.0..1.0},{-15.0..15.0},"Main LR EQ gain"
/lr/eq/1/q,f,{0.0..1.0},{10.0..0.3},"Main LR EQ Q"
/lr/eq/1/type,i,{0..5},"LCut, LShv, PEQ, VEQ, HShv, HCut","Main LR EQ band type"
/lr/eq/mode,i,{0..2},"PEQ, GEQ, TEQ","Main LR EQ mode"
/lr/eq/on,i,{0..1},"OFF, ON","Main LR EQ Off/On"
/lr/geq/0,f,{0.0..1.0},{-15.0..15.0},"Main LR graphics EQ band level"
/lr/mix/fader,f,{0.0..1.0},{-INF..10}","Main LR fader level"
/lr/mix/on,i,{0..1},"OFF, ON","Main LR mute"
/lr/mix/pan,f,{0.0..1.0},{-100..100},"Main LR pan level"
/routing/aux/{1..6}/pos,i,{0..10},"AIN, AIN+M, IN, IN+M, PREEQ, PREEQ+M, POSTEQ, POSTEQ+M, PRE, PRE+M, POST","Routing Aux {0} tap"
/routing/aux/{1..6}/src,i,{0..55},"Ch01-16, AuxL-R, FX1L-FX4R, Bus1-6, Send1-4, L, R, U1-18","Routing Aux {0} source"
/routing/main/01,i,{0..10},"LR, MON, U0102-U1718","Routing Main assignment"
/routing/p16/{1..6}/pos,i,{0..10},"AIN, AIN+M, IN, IN+M, PREEQ, PREEQ+M, POSTEQ, POSTEQ+M, PRE, PRE+M, POST","Routing P16 [1..16] ??"
/routing/p16/{1..6}/src,i,{0..55},"Ch01-16, AuxL-R, FX1L-FX4R, Bus1-6, Send1-4, L, R, U1-18","Routing P16 [1..16] source"
/routing/usb/{1..6}/pos,i,{0..10},"AIN, AIN+M, IN, IN+M, PREEQ, PREEQ+M, POSTEQ, POSTEQ+M, PRE, PRE+M, POST","Routing USB [1..36] ??"
/routing/usb/{1..6}/src,i,{0..37},"Ch01-16, AuxL-R, FX1L-FX4R, Bus1-6, Send1-4, L, R","Routing USB [1..36] source"
/rtn/{1..4}/config/color,i,{0..15},"OFF, RD, GN, YE, BL, MG, CY, WH, OFFi, RDi, GNi, YEi, BLi, MGi, CYi, WHi","FX Return {0} color"
/rtn/{1..4}/config/name,s,,,"FX Return {0} name"
/rtn/{1..4}/config/rtnsrc,i,{0..8},"U0102, U0304, U0506, - U1718","FX Return {0} source"
/rtn/{1..4}/eq/1/f,f,{0.0..1.0},{20..20000},"FX Return {0} EQ band frequency"
/rtn/{1..4}/eq/1/g,f,{0.0..1.0},{-15.0..15.0},"FX Return {0} EQ band gain"
/rtn/{1..4}/eq/1/q,f,{0.0..1.0},{10.0..0.3},"FX Return {0} EQ band Q"
/rtn/{1..4}/eq/1/type,i,{0..5},"LCut, LShv, PEQ, VEQ, HShv, HCut","FX Return {0} EQ band type"
/rtn/{1..4}/mix/01/grpon,i,{0..1},"OFF, ON","FX Return {0} mixbus sends group"
/rtn/{1..4}/mix/01/level,f,{0.0..1.0},{-INF..10},"FX Return {0} mixbus sends level"
/rtn/{1..4}/mix/01/pan,f,{0.0..1.0},{-100..100},"FX Return {0} mixbus sends pan"
/rtn/{1..4}/mix/01/tap,i,{0..5},"IN, PREEQ, POSTEQ, PRE, POST, GRP","FX Return {0} mixbus sends tap"
/rtn/{1..4}/mix/fader,f,{0.0..1.0},{-INF..10}","FX Return {0} fader level"
/rtn/{1..4}/mix/lr,i,{0..1},"OFF, ON","FX Return {0} LR assignment"
/rtn/{1..4}/mix/on,i,{0..1},"OFF, ON","FX Return {0} mute"
/rtn/{1..4}/mix/pan,f,{0.0..1.0},{-100..100},"FX Return {0} pan level"
/rtn/{1..4}/preamp/rtnsw,i,{0..1},"OFF, ON","FX Return {0} preamp switch (preamp/USB)"
/rtn/{1..4}/preamp/rtntrim,f,{0.0..1.0},{-18.0..18.0},"FX Return {0} preamp trim"
/rtn/aux/config/color,i,{0..15},"OFF, RD, GN, YE, BL, MG, CY, WH, OFFi, RDi, GNi, YEi, BLi, MGi, CYi, WHi","Aux Return color"
/rtn/aux/config/name,s,,,"Aux Return name"
/rtn/aux/config/rtnsrc,i,{0..8},"U0102, U0304, U0506, - U1718","Aux Return source"
/rtn/aux/eq,i,{0..1},"OFF, ON","Aux Return EQ Off/On"
/rtn/aux/eq/1/f,f,{0.0..1.0},{20..20000},"Aux Return EQ band frequency"
/rtn/aux/eq/1/g,f,{0.0..1.0},{-15.0..15.0},"Aux Return EQ band gain"
/rtn/aux/eq/1/q,f,{0.0..1.0},{10..0.3},"Aux Return EQ band Q"
/rtn/aux/eq/1/type,i,{0..5},"LCut, LShv, PEQ, VEQ, HShv, HCut","Aux Return EQ band type"
/rtn/aux/mix/01/grpon,i,{0..1},"OFF, ON","Aux Return mixbus sends group Off/On"
/rtn/aux/mix/01/level,f,{0.0..1.0},{-INF..10},"Aux Return mixbus sends level"
/rtn/aux/mix/01/pan,f,{0.0..1.0},{-100..100},"Aux Return mixbus sends pan level"
/rtn/aux/mix/01/tap,i,{0..5},"IN, PREEQ, POSTEQ, PRE, POST, GRP","Aux Return mixbus sends tap"
/rtn/aux/mix/fader,f,{0.0..1.0},{-INF..10},"Aux Return fader level"
/rtn/aux/mix/lr,i,{0..1},"OFF, ON","Aux Return LR assignment"
/rtn/aux/mix/on,i,{0..1},"OFF, ON","Aux Return mute"
/rtn/aux/mix/pan,f,{0.0..1.0},{-100..100},"Aux Return pan level"
/rtn/aux/preamp/rtnsw,i,{0..1},"OFF, ON","Aux Return switch (preamp/USB)"
/rtn/aux/preamp/rtntrim,f,{0.0..1.0},{-18.0..18.0},"Aux Return trim"
/xinfo,,,,"Returns info of the X-Air (eg firmware #, etc)"
/info,,,,"Returns info of the X-Air (eg firmware #, etc)"
